Oxides	DFT-Lattice	DFT-Energy	MACE-Lattice	MACE-Energy
BLu2O4	8.439906973	-4.35E+02	8.489637336	-430.8206548
BePt2O4	8.411472464	-3.18E+02	8.33566219	-327.2672752
NBa2O4	9.623341777	-3.07E+02	9.703604001	-308.1024996
NdZr2O4	9.436656218	-4.90E+02	9.412991296	-487.9757753
OsNi2O4	8.375419257	-3.65E+02	8.4232824	-340.8421375
PtTa2O4	8.986334538	-4.74E+02	9.174280029	-472.7789234
RuTl2O4	9.686660685	-2.97E+02	10.43209106	-314.4047556
TeSr2O4	9.702119157	-3.09E+02	9.953047563	-322.1890109
TmY2O4	9.404327416	-4.74E+02	9.584637276	-485.6567613
WGa2O4	9.469655103	-3.82E+02	8.695519057	-340.6736921
