Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
AgAg2O4,Ag,Ag,O,9.226804582307803,9.2268045823073,9.22680458230741,90.00000000000004,90.0,90.0,-219.9031593267225,785.5140690016906,0.0377394534385827,9.226804582307429,9.226804582308016,9.22680458230776,89.99999999999996,90.0,90.0,-219.90315932672272,785.5140690017492,0.0377394534376558,0.9506309413909912,,True,True,True,True,0.203885,equal,0.44999999999999996,,-0.0,True,False,False
AgAl2O4,Ag,Al,O,8.425127513960573,8.425127513960676,8.425127513960573,89.99999999999989,90.0,90.0,-358.2198545780664,598.0389190978294,0.049714585500293,8.423440218180925,8.379846210377707,8.36976659488192,89.7961560504278,90.6970437608593,89.34000868542878,-353.5496021621543,590.7108804812059,0.042653618683601,0.7320407843589782,,True,True,True,True,0.104262,normal,0.48,0.0,4.670252,True,False,False
AgAs2O4,Ag,As,O,9.105221658828386,9.105221658828452,9.105221658828302,90.00000000000209,90.00000000000004,90.00000000000006,-294.12538952284115,754.8689611992879,0.041427486152666,9.51886636641684,9.585946729684492,9.608396876442148,90.81102465754164,89.39689758356369,90.41959206551168,-305.0215290745794,876.5817484729046,0.0495913877379593,0.7273216733336448,,True,True,True,True,0.106265,inverse,0.455,1.0,-10.89614,True,False,False
AgAu2O4,Ag,Au,O,9.396181311057076,9.396181311056855,9.39618131105678,89.99999999999947,90.0,90.0,-229.2368273907116,829.5721531025428,0.0317623477063599,9.695075685534606,9.568036860453892,9.274573203712558,91.44732933497376,90.4227041160515,91.68443394869752,-229.3673105701152,859.6612567636209,0.0426286017207445,0.5948033831268549,,True,True,True,True,0.161421,inverse,0.19,0.99,-0.130483,True,False,False
AgB2O4,Ag,B,O,7.903947883484293,7.903947883484318,7.9039478834841725,90.00000000000004,90.0,90.0,-316.575468700377,493.77853166937,0.0498533402487041,9.088682286294642,8.613471136372267,8.654449920975189,83.1813883815606,89.23258420420157,91.24340351068884,-378.3721309572492,672.4769937185738,0.0498037598262736,0.950145946741104,,True,True,True,True,0.142806,inverse,0.5999999999999999,1.0,-61.796662,True,False,False
AgBi2O4,Ag,Bi,O,9.916516988988713,9.9165169889883,9.91651698898788,89.99999999999905,90.0,90.0,-288.88633560291424,975.1635972627234,0.0207781924471716,9.592619679561285,10.047185306104394,10.000059121155669,90.87019572493824,89.00811142228581,89.06144969718851,-290.83962164926675,963.404889892351,0.0491760081043918,0.649791345000267,,True,True,True,True,0.062372,inverse,0.5,1.0,-1.953286,True,False,False
AgBr2O4,Ag,Br,O,7.39431699640806,7.394316996409039,7.394316996408826,89.99999999999872,90.0,90.0,-734962.1829799584,404.29111296943233,78791.82281777762,10.590429810492784,10.09608071729888,9.81265751276038,91.97543566228376,87.24709233296093,91.81914667379256,-196.7744254754537,1046.8778258684283,0.05964982919379,0.95230886220932,,False,False,False,False,,,,,734765.408554,True,False,False
AgC2O4,Ag,C,O,8.172948671188356,8.136061680556432,8.132879459296621,90.14270157229052,90.00202266211284,90.00067433306577,-356.6160837891582,540.79913959864,1.090585463938134,9.289861216516892,9.027841030787826,8.911123533336305,87.98899112316707,90.04536214501252,89.4981112556529,-366.07780473323095,746.8632763752045,0.4046044042678644,0.897145813703537,,False,False,False,False,,,,,-9.461721,True,True,False
AgCe2O4,Ag,Ce,O,9.927966082299784,9.927966082299834,9.927966082299983,89.99999999999946,90.0,90.0,-421.6810476223599,978.5451174732008,0.0060526989776279,9.84786057443518,9.837827365110703,9.750214814430793,94.58164729018708,91.3132484417601,85.79806854893147,-421.64440980626296,938.928059308804,0.0471687232115236,0.7482418829202652,,True,True,True,True,0.371889,normal,,,0.036638,True,True,False
AgCl2O4,Ag,Cl,O,9.003018752470892,9.003018809474185,9.003019772096911,90.00000000007346,90.00000000000568,90.0000000000011,-155.27324070149808,729.7338901908163,0.0318133853517879,9.870754842791692,9.98507532261704,9.758774042864768,90.34153160186482,90.21564250486932,89.98251230118042,-207.05465806598545,961.803081780563,0.0787446123155868,0.9421176916360856,,True,False,False,True,1.12283,normal,,,-51.781417,True,False,False
AgCo2O4,Ag,Co,O,8.443064846515053,8.443064846514895,8.443064846515105,90.00000000000058,90.0,90.0,-301.0392024088518,601.86678201888,0.0499689366346398,8.5945411701479,8.578192598523406,8.570770081953242,89.75518702765807,89.95711494524859,89.7514713684893,-295.50484183451425,631.8735383217584,0.0467476781268209,0.4451856220513582,,True,True,True,True,0.105567,normal,,,5.534361,True,False,False
AgCr2O4,Ag,Cr,O,8.73202427079479,8.732024270794321,8.732024270794783,90.00000000000001,90.0,90.0,-383.1083379279916,665.8015509692634,0.020328890751234,8.351995500743685,8.810913061773766,8.85843553088829,90.00042836187886,91.55802020728716,88.4328382171335,-375.684441668996,651.3958925291428,0.0497181155795293,0.6931464293599129,,True,True,True,True,0.043606,normal,0.59,0.0,7.423896,True,False,False
AgCu2O4,Ag,Cu,O,8.622008194188046,8.62200819418789,8.622008194187874,90.00000000000033,90.0,90.0,-262.0928556772211,640.9516852900963,0.0180727795238025,10.809334703484076,7.984189532605115,7.973553105764993,89.33460533619247,90.47411336971656,89.81506540313418,-261.3035946231152,688.0739849254065,0.049481673120431,0.6503690318763256,,True,True,True,True,0.11334,normal,0.37500000000000006,0.0,0.789261,True,False,False
AgDy2O4,Ag,Dy,O,9.703949958795876,9.70394995879548,9.703949958795702,89.99999999999912,90.0,90.0,-390.9950809201195,913.788408954164,0.0065557938267263,9.165367328756556,9.726048578291763,9.653627847900337,91.34889587964636,92.16025128925752,90.80493798021143,-390.8867337588514,859.6055177153061,0.0438392043619195,0.5982306560873986,,True,True,True,True,0.165646,normal,0.175,0.15,0.108347,True,False,False
AgEr2O4,Ag,Er,O,9.589810241914108,9.5898102419142,9.58981024191419,89.99999999999966,90.0,90.0,-392.7207112957277,881.9217249641057,0.0432680406928912,9.205852953589224,9.54356196105816,9.45237178763153,91.95044088917965,93.52416108751196,90.5090843169801,-392.6850558644856,828.3527154564499,0.0495406788368787,0.6157337656617164,,True,True,True,True,0.157535,normal,0.22000000000000003,0.46,0.035655,True,False,False
AgEu2O4,Ag,Eu,O,9.825240068729912,9.825240068730327,9.825240068729672,89.99999999999874,90.0,90.0,-448.72747282806495,948.4829142773876,0.0457234400917921,9.146079619135891,9.901892606734116,9.913532454675607,92.21641819868798,91.99086417905497,90.7377072270268,-450.1093279992309,896.5000993322273,0.0494238695474902,0.7873661664128303,,True,True,True,True,0.137879,inverse,0.44,1.0,-1.381855,True,False,False
AgFe2O4,Ag,Fe,O,8.814476344063467,8.81447634406383,8.814476344063934,89.99999999999937,90.0,90.0,-327.82221200194897,684.8406797904062,0.0266126582141308,8.780024659755389,8.763020686427407,8.757060817882554,89.91601988741056,90.22038390776126,89.69848933853132,-324.30562565975947,673.7491541010943,0.0477551759556734,0.6691090300679207,,True,True,True,True,0.117816,normal,0.37000000000000005,0.0,3.516586,True,False,False
AgGa2O4,Ag,Ga,O,8.705776680634777,8.705776680634306,8.705776680634376,89.99999999999996,90.0,90.0,-301.07200809235394,659.8155820224628,0.0315981792215632,8.7767193839874,8.599751277118838,8.565287696421603,90.2867114228584,90.90118089338348,89.16688335291971,-298.342114211802,646.3317189277574,0.0488254093662624,0.7218314632773399,,True,True,True,True,0.093484,normal,0.495,0.0,2.729894,True,False,False
AgGd2O4,Ag,Gd,O,9.809504897809974,9.809504897810127,9.809504897811111,90.0000000000003,90.0,90.0,-536.6732534994878,943.9332081024576,0.0217486619572074,9.18722458550634,9.866427667634644,9.894217813933368,92.8145541032864,91.61084298243112,90.75225019609172,-538.7345861263882,895.3317854317548,0.0486128334783321,0.7713109964132309,,True,True,True,True,0.151344,inverse,0.3950000000000001,1.0,-2.061333,True,False,False
AgGe2O4,Ag,Ge,O,8.915417147814809,8.915417147815202,8.915417147815326,89.99999999999471,89.99999999999999,89.99999999999993,-311.5599407435022,708.6389267813107,0.0334545648634852,8.806696255291513,9.46560548017796,9.824963285351398,89.65644008829074,88.42251183586875,91.36276757495982,-321.24438859009393,818.4558449239183,0.0760216578362247,0.6221871353685856,,True,False,False,True,0.377129,normal,,,-9.684448,True,False,False
AgHf2O4,Ag,Hf,O,9.262003525745422,9.262003525745154,9.262003525744817,90.00000000000027,90.00000000000001,90.0,-486.6535318412946,794.5382800927177,0.047832526811974,9.1872918693838,9.57895159111398,9.528040686045632,87.63967983264168,88.77328335462815,88.45147515496348,-488.7982833744354,837.3213454643368,0.0495491232859899,0.0836117739492328,,True,True,True,True,0.401408,inverse,,,-2.144752,True,False,False
AgHo2O4,Ag,Ho,O,9.648011372611348,9.648011372611547,9.648011372611633,90.00000000000004,90.00000000000001,90.00000000000003,-391.42654019501055,898.0766816169772,0.0079281681194286,9.24050673461443,9.54963249985881,9.594116961357942,92.405281856418,94.1624357402226,89.97268546964598,-392.2507459307118,843.6380389814884,0.0496432982423548,0.6157337660342455,,True,True,True,True,0.153391,inverse,0.24500000000000005,1.0,-0.824206,True,False,False
AgI2O4,Ag,I,O,9.894932597322764,9.894932597322738,9.894932597322526,89.99999999999943,90.0,90.0,-200.41878751505192,968.8097941141888,0.003983475752912,10.4365359523813,10.170059139793208,10.360709104250112,90.82130134548416,89.4768595662213,89.63625643352157,-217.30933151957697,1099.505712516354,0.0499540450444808,0.9517325961589812,,True,True,True,True,0.080732,inverse,0.75,1.0,-16.890544,True,False,False
AgIn2O4,Ag,In,O,9.33048517292013,9.33048517292045,9.330485172919984,89.99999999999977,90.0,90.0,-286.3729640227549,812.2929448957937,0.0385545021939279,9.292689897359477,9.253418184320196,9.220653602145934,90.41008917008192,90.3651041303402,89.77676481923243,-282.8774550059114,792.8338415488608,0.0495006966179672,0.6239688527584076,,True,True,True,True,0.072263,normal,0.44499999999999995,0.0,3.495509,True,False,False
AgIr2O4,Ag,Ir,O,8.987079754767809,8.987079754767578,8.987079754767809,89.99999999999973,90.0,90.0,-347.71876346938603,725.8648854356417,0.0205528542826715,9.003426443847934,8.954120704092407,9.071557535663096,88.79040923253123,92.50356322772116,86.41774954108976,-343.51259080110407,728.9946663046411,0.0467684910012711,0.21945214624051,,True,True,True,True,0.236254,normal,,,4.206173,True,True,False
AgLa2O4,Ag,La,O,10.229302309946876,10.229302309947414,10.22930230994702,90.00000000000067,90.00000000000001,90.00000000000001,-388.64206852467487,1070.380136076665,0.0260420201896917,9.167901057536607,10.420005899386537,10.133202230013088,91.4101931214507,96.01637233160272,88.83317423602632,-393.7967466348025,962.2431544340736,0.0493923734415046,0.748241885304451,,True,True,True,True,0.119311,inverse,0.45,1.0,-5.154678,True,False,False
AgLu2O4,Ag,Lu,O,9.451387285905453,9.451387285905392,9.451387285905636,89.99999999999953,90.0,90.0,-395.55152244150537,844.2803438627337,0.0034289241897906,9.169414902682323,9.479682726378476,9.34187228240588,92.18821076780088,92.36345027104956,91.02287156974222,-394.27904053138064,810.5890481127542,0.046558932999003,0.7821710616350174,,True,True,True,True,0.141468,normal,0.43,0.0,1.272482,True,False,False
AgMn2O4,Ag,Mn,O,8.838508464197208,8.838508464198068,8.838508464189454,89.99999999999882,89.99999999999997,90.0,-364.94264340602746,690.4574921139397,0.0269202449344509,8.693086853918027,8.826249069565504,8.81953814276763,89.37631661340914,90.5899085808681,88.94935825817268,-360.01420953690314,676.5086573970823,0.048544329177912,0.6372114196419716,,True,True,True,True,0.057182,normal,0.49,0.0,4.928434,True,True,False
AgMo2O4,Ag,Mo,O,9.231598526430322,9.231598526430206,9.231598526430348,89.99999999999879,90.0,90.0,-367.8490614273484,786.7390870669441,0.00705954300477,8.601863328622866,9.376330036558896,9.41590741396088,91.58049893922473,92.0574789422476,89.62954191026869,-363.0133638149912,758.6400233778793,0.0485078960627049,0.7361496725678444,,True,True,True,True,0.225945,normal,,,4.835698,True,False,False
AgN2O4,Ag,N,O,7.943116817676986,7.9431168180711,7.9431168147382385,90.00000018112878,89.99999991204783,89.99999948954118,-270.6496112670173,501.15590149107095,0.0495949428832963,9.174118551848764,9.14376146762906,9.111589855187356,89.41167763610382,90.17481400298831,88.45855143676339,-318.3298104104869,764.013282776337,0.1226888164325308,0.9419442242383956,,True,False,False,True,1.023299,normal,,,-47.680199,True,False,False
AgNb2O4,Ag,Nb,O,9.122104669464452,9.12210466946498,9.122104669464754,89.99999999999795,90.0,90.0,-440.1163505024833,759.0758130638781,0.0444286036799717,8.95139278879876,9.13961707232628,9.11841040811276,90.3079163187664,90.68812878081997,88.57577732985605,-444.1295982358101,745.7042910165251,0.038303174629762,0.6844250556826591,,True,True,True,True,0.278368,inverse,,,-4.013248,True,False,False
AgNd2O4,Ag,Nd,O,10.106817851100816,10.106817851100931,10.106817851102267,89.99999999999963,90.0,90.0,-381.4761758114852,1032.3888757271943,0.0225595367906184,9.136317325144136,10.07800444714329,9.980426363665163,91.4759976903693,96.62396155767776,89.58981155966538,-387.420183537334,912.51083076129,0.0425664788093285,0.7841543227434158,,True,True,True,True,0.120835,inverse,0.48000000000000004,1.0,-5.944008,True,False,False
AgNi2O4,Ag,Ni,O,8.491847033220843,8.491847033221088,8.491847033220843,89.99999999999996,90.0,90.0,-253.6983155679043,612.3595389158166,0.0170602042750514,8.600475351800629,8.60704012812281,8.60943604855352,89.83511047691472,89.83403296779525,89.97378613372894,-250.3465045331133,637.3049965824179,0.0472693811636279,0.3221018530055881,,True,True,True,True,0.382987,normal,,,3.351811,True,False,False
AgOs2O4,Ag,Os,O,8.93239606106285,8.932396061063105,8.932396061063036,90.0000000000003,90.00000000000001,90.00000000000001,-385.657708131704,712.6953317676437,0.0494670873025627,8.878468687921885,8.806026324396377,8.967647895031895,87.0585234357951,90.72848749767957,85.93951538887099,-388.15062443449534,698.3514227881532,0.0498634769898508,0.0724836734164273,,True,True,True,True,0.26753,inverse,,,-2.492916,True,True,False
AgP2O4,Ag,P,O,8.791083960408288,8.791083960407857,8.791083960408288,89.99999999999108,90.00000000000026,90.00000000000422,-300.4403123537131,679.4027236613499,0.0159904935840786,9.5221420409439,9.519002430369554,9.786089582380132,89.91968420901162,92.54920733647728,89.78079259957185,-345.5552188929932,886.1384266504865,0.339719100502014,0.874303610920906,,True,False,False,True,0.97406,normal,,,-45.114907,True,False,False
AgPb2O4,Ag,Pb,O,9.706013277331245,9.70601327733158,9.706013277331616,89.99999999999969,90.0,90.0,-280.8502794364543,914.371420251368,0.0449719898743058,9.566335288275452,9.74964638112755,9.734785398777056,90.41073809331624,90.3026192091588,89.90230668132065,-278.4450075459059,907.910468661788,0.0418177959694042,0.6598156639933586,,True,True,True,True,0.030911,normal,0.585,0.0,2.405272,True,False,False
AgPd2O4,Ag,Pd,O,9.080202094563289,9.080202094563308,9.080202094562964,90.00000000000026,90.0,90.0,-278.6216384202691,748.6632990201335,0.0064804783947514,8.92909088894044,9.043204230335816,9.11375460528492,86.65719783293079,90.29442073900114,90.73904127045384,-273.10802045425777,734.5934048565414,0.0483139657830866,0.5999284859001637,,True,True,True,True,0.045777,normal,0.475,0.0,5.513618,True,False,False
AgPr2O4,Ag,Pr,O,10.14405214101943,10.144052141018424,10.144052141018715,89.99999999999962,90.0,90.0,-378.56886454258233,1043.8411621143837,0.029482664563763,9.255180933112854,10.04875874943322,10.173860650541654,91.97197347394108,93.44231966745105,90.54163714426284,-383.6679254699045,943.8709186129933,0.0471320156198175,0.8399386119842529,,True,True,True,True,0.150104,inverse,0.465,1.0,-5.099061,True,False,False
