Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
AgAg2Se4,Ag,Ag,Se,7.324170366355301,7.325085149818899,7.324958690564578,89.98817782639321,89.99576792507719,89.99918948693553,-93483.1103002174,392.9852811274237,225944.6585499364,7.289232711996776,7.289302183259104,7.2892378840211824,90.00000001184587,90.00000026233097,89.9999999061708,-12107.828122503264,387.3021374018949,266.28465250875524,0.8541127789020538,,False,False,False,False,,equal,,,81375.282178,True,False,False
AgAl2Se4,Ag,Al,Se,7.017772395930892,7.0177723959306535,7.017772395930892,89.99999999999969,90.0,90.0,-3350.01388719619,345.61918083458346,0.0333843413718078,7.910065660728419,7.903057934919039,7.903986523283603,90.02498179431966,90.00992930773499,89.9769454456787,-1028984785953.5996,494.1074047449895,183006444188.5183,0.7608902680873871,,True,False,False,True,0.0,normal,0.76,0.0,-1028984782603.5857,True,False,False
AgAs2Se4,Ag,As,Se,7.206910477601239,7.206910475675041,7.206910458826013,90.00000923934975,90.00000790706208,89.99999197377494,-1780299162.5423453,374.3237482328524,4891884.507453209,7.880438668229692,7.887614830219894,7.887407752937569,89.98349577128182,89.97580692234682,89.97146323042168,-53416565.06321219,490.2643007584739,30689748.944874417,0.870143449306488,,False,False,False,False,,,,,1726882597.479133,True,False,False
AgAu2Se4,Ag,Au,Se,8.113274998750537,8.113274998750203,8.113274998750924,90.00000000000037,90.0,90.0,-0.397876373199665,534.0582026253476,0.0372494447285817,7.7158430873974,7.653467534073888,7.646314052037507,90.06609258079146,89.97530784247296,90.00225895703709,-11333.266477501023,451.53709363326266,889.0344504111657,0.8207501148339361,,True,False,False,True,3.403398,normal,,,-11332.868601,True,False,False
AgB2Se4,Ag,B,Se,7.175184991516511,7.175184991516336,7.175184991516502,89.99999999999929,90.0,90.0,-1142.1783191436243,369.4020555482915,0.0365758122091316,7.893245595624899,7.8497326108139,7.834750189301836,90.05825110097936,90.08624935649304,89.92920472312096,-110563004.59960954,485.438911960424,31372217.37004881,0.8006296274065972,,True,False,False,True,0.0,normal,0.8,0.0,-110561862.42129,True,False,False
AgBi2Se4,Ag,Bi,Se,11.972247512898802,11.972247524441354,11.972247497323792,90.00000054483927,90.00000000998898,90.00000000434468,-214.1543029149742,1716.038630838762,0.0291181305429265,8.07432200186163,8.081168453658707,8.082336089451019,90.03309596567756,90.0157740062145,90.00124106606393,-241430376.0473671,527.3719681100079,234186646.83281183,0.8515091687440872,,True,False,False,True,0.0,normal,0.85,0.0,-241430161.893064,True,False,False
AgCe2Se4,Ag,Ce,Se,8.04103268045175,8.04103268045222,8.041032680452037,90.0000000000006,90.0,90.0,-872.631451124391,519.9187520734856,0.0486974595682983,7.919772857830997,7.918322094631084,7.920736539439034,89.95482970789192,89.97697330001472,89.93991036218135,-384356101.7568081,496.7193161160481,217928680.7440528,0.8996784883737564,,True,False,False,True,0.0,normal,0.9,0.0,-384355229.125357,True,True,False
AgCo2Se4,Ag,Co,Se,8.200541044250814,8.200541044250512,8.200541044250693,90.00000000000041,90.0,90.0,-73.42199590928217,551.477146647535,0.039945283989511,7.975933072324092,7.968373339790629,7.967477268735165,90.0175231882746,90.03840752851052,89.96523091023292,-28534850.865841787,506.3744799069157,8478381.842736095,0.5651927311718464,,True,False,False,True,3.377198,normal,,,-28534777.443846,True,False,False
AgCr2Se4,Ag,Cr,Se,7.277914770312693,7.277914770313674,7.277914770313261,89.9999999999977,90.0,90.0,-205477.93332332504,385.4969054441492,1005.7349758326876,7.902973622353423,7.882842807327043,7.881586636266882,90.03364270204972,90.04095959367523,89.99264489218812,-12440.731474496964,491.0060723283594,4041.1433742628087,0.5658249670267105,,False,False,False,False,,,,,193037.201849,True,False,False
AgCu2Se4,Ag,Cu,Se,10.627597453727557,10.627597453726503,10.62759745372699,89.9999999999981,90.00000000000001,90.0,-199.05093783834803,1200.3427902196415,0.0462446556093182,8.037090942296054,8.029120139645707,8.021071743010964,90.00570781266816,90.0237174836145,89.98715136828427,-100938123.32255356,517.6058658418905,88633603.80855736,0.7812411138415336,,True,False,False,True,0.104572,normal,0.53,0.0,-100937924.271616,True,False,False
AgDy2Se4,Ag,Dy,Se,8.636521517686326,8.636521517687218,8.636521517686804,89.99999999998859,89.99999999999983,89.99999999999983,-230.32322271062333,644.1938556458763,0.0469065889085934,8.011408867646125,8.007529808715825,8.00823441017205,90.0026702583434,90.01448542187508,89.9951313970799,-34184779.198217764,513.7409942583843,19108036.70973685,0.910608139038086,,True,False,False,True,0.969721,normal,,,-34184548.874995,True,False,False
AgEr2Se4,Ag,Er,Se,8.668898193818555,8.668898193819102,8.668898193818988,90.0000000000003,90.0,90.0,-22.503829082565403,651.4659298982567,0.0418732661551445,8.025766154522627,8.02569836257909,8.025145032851247,90.01015642535106,90.02407121801306,90.00604149018217,-13251831.971971411,516.9186210285603,9988616.666629814,0.8903089934587478,,True,False,False,True,4.660192,normal,,,-13251809.468142,True,False,False
AgEu2Se4,Ag,Eu,Se,6.328838936206099,6.334577819179162,6.329879666813032,90.02195879597089,90.0378912429255,89.9804759312159,-7891282896.816438,253.76809592286824,2215117013.132277,7.996469740299783,7.988558588327591,7.989180633949228,90.01760673406004,89.98098604902023,90.00646216508495,-4592747.372097919,510.35093673050346,15176357.00687529,0.9447136241197586,,False,False,False,False,,,,,7886690149.44434,True,False,False
AgFe2Se4,Ag,Fe,Se,7.201783063620272,7.201783063620964,7.201783063620481,89.99999999999721,89.99999999999996,89.99999999999999,-18759.77565901816,373.52537073316296,5269.885688879899,7.869995064015386,7.856388741472232,7.854902092173748,90.10892194263604,90.05761227633008,89.99758017787427,-26008.596721320624,485.6654354144393,8153.645280094335,0.488153488561511,,False,False,False,False,,,,,-7248.821062,True,False,False
AgGa2Se4,Ag,Ga,Se,7.932448037708547,7.932448037708547,7.932448037708425,89.99999999999997,90.0,90.0,-93.86996862349253,499.1392334049778,0.0438935670654923,8.092006520055365,8.098831645080248,8.106448887859194,89.94310355552572,89.88574909030916,89.92312095205114,-753848476.1612413,531.2608056843183,54859202.24143318,0.8266989761590957,,True,False,False,True,2.059934,normal,,,-753848382.291273,True,False,False
AgGd2Se4,Ag,Gd,Se,11.872878980533343,11.872878980533777,11.87287898053217,89.99999999999964,90.0,90.00000000000001,-437.2651198581272,1673.6634164751988,0.0188203932697564,8.261977807394317,8.2547583074876,8.255708398222238,90.04018513532607,90.05459049787886,90.0227459236146,-13647670950.479967,563.0440748084696,7173111689.045474,0.907696806192398,,True,False,False,True,0.0,normal,0.91,0.0,-13647670513.214848,True,False,False
AgGe2Se4,Ag,Ge,Se,7.49134168300781,7.486804747815572,7.488444571144786,89.99975747960188,90.00011865318952,90.00049975123297,-1523117.2989147883,419.9984933401778,297857.29559357936,7.807906881747844,7.786040900140341,7.7909015235827805,89.86701193245578,89.94073841304487,90.04950567677336,-4232527.257025937,473.6280944119741,10057659.04562977,0.7808419659733772,,False,False,False,False,,,,,-2709409.958111,True,False,False
