Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
AgAg2S4,Ag,Ag,S,8.0774473804229,8.077447380422761,8.07744738042318,90.00000000000168,90.00000000000001,90.0,-483.6271636355175,527.0143158997105,0.0342861315703888,8.077447380422656,8.077447380423086,8.077447380423367,89.99999999999893,90.0,90.0,-483.6271636355184,527.0143158997283,0.0342861315914797,0.810381226837635,,True,True,True,True,0.0,equal,0.81,,-0.0,True,False,False
AgAl2S4,Ag,Al,S,8.221665605755415,8.221665605754039,8.221665605754163,89.99999999999783,90.00000000000009,90.00000000000014,-5868.954047459618,555.7499433650364,439.8694333803957,7.964560933148865,7.967495214997871,7.968705075939335,90.06379613979483,90.06779849166028,89.96700911609564,-535222257746059.4,505.67415725458295,1071144248555031.4,0.7192096838355064,True,False,False,False,False,,,,,-535222257740190.44,True,False,False
AgAs2S4,Ag,As,S,8.370120208637616,8.378569917252847,8.299149674864998,90.00782646007234,89.97783607750333,89.99429428438008,-41599.17144958269,582.016305427505,20874.23832090389,7.956211206305763,7.962854122569922,7.967757465233075,90.22099358705496,89.98224558239339,89.96285379304041,-2875636.494369701,504.7866096915757,3529400.8127970304,0.926795687675476,,False,False,False,False,,,,,-2834037.32292,True,False,False
AgAu2S4,Ag,Au,S,8.42770602644959,8.435518693625536,8.430675036821828,89.91893814896285,90.02054515484498,90.02110026480047,-73133.51380515473,599.3534755427949,5970.22919247691,8.311853620776063,8.330862632814057,8.362230993016976,89.51240590936708,89.47685499955314,89.52081429305636,-837.2112776757381,578.9769576597866,76.33273386462214,0.6030925217363984,,False,False,False,False,,,,,72296.302527,True,False,False
AgB2S4,Ag,B,S,9.5718769064996,9.571876906504118,9.571876906507184,89.99999999999976,90.0,90.0,-235.38249421956044,876.9832830289039,0.0174498409002807,9.925586593789852,10.362020479558794,9.857191326431163,86.93819811590153,92.5297122156143,91.45965499955734,-274.1410315270662,1011.0982508991564,0.0467554251739155,0.951352465748787,,True,True,True,True,0.119303,inverse,0.6499999999999999,1.0,-38.758537,True,False,False
AgBi2S4,Ag,Bi,S,11.458751763928037,11.458751763931405,11.4587517639295,89.99999999998246,90.00000000000934,90.00000000001324,-232.21205603972749,1504.568391044411,0.032596944220528,8.237043129292362,8.232959196283252,8.233248372122347,89.97628207074412,89.92967477628592,90.02220874258975,-127919444123.13222,558.33920371317,487232287081.8392,0.9152962696552276,,True,False,False,True,0.0,normal,0.92,0.0,-127919443890.92017,True,False,False
AgC2S4,Ag,C,S,9.088349831386164,9.088349831467498,9.088349831504573,89.99999999995197,90.00000000020445,89.99999999999831,-226.08997231791284,750.6804523780321,0.0243480300553516,7.995474312613702,7.997685104415954,7.998146862657744,90.01022981054129,89.99690306308324,89.9961525655375,-2159176.293835302,511.443777052425,882271.931661723,0.9620493346452712,,True,False,False,True,1.380605,normal,,,-2158950.203863,True,True,False
AgCe2S4,Ag,Ce,S,8.970108256174361,8.970108256174488,8.970108256174365,89.99999999982917,89.99999999999172,90.0000000000718,-94.40782588096756,721.7604044830399,3.0327074268095955,7.882341551521812,7.852513825404149,7.856814031453883,89.85106488855072,89.90720869183926,89.95871921185005,-6185546163.787626,486.3044958386005,6829142562.377242,0.9358125358819962,,False,False,False,False,,,,,-6185546069.379801,True,True,False
AgCo2S4,Ag,Co,S,9.73749539187813,9.737495391876736,9.737495391877948,90.0000000000405,90.00000000012491,89.99999999998076,-286.5404128845434,923.2977887986186,0.0278391132443798,9.746771153670228,9.688969732376805,9.807874844068683,87.22300283049628,89.50910617786779,90.49567443804452,-278.4854349143744,925.0583892874516,0.0495453683803747,0.5335422121733427,,True,True,True,True,0.0,normal,0.53,0.0,8.054978,True,False,False
AgCr2S4,Ag,Cr,S,8.624910993200434,8.624451881083207,8.626416992555896,89.97055487186684,90.00365671166729,89.96275616339311,-304378.14376223163,641.6769264184089,70397.93652670157,7.948102459252582,7.937868651059456,7.939928867183506,89.95003827399232,89.9807123956836,89.89781284351855,-74572792.51559885,500.93698404836937,77625803.90959781,0.4795540302991867,,False,False,False,False,,,,,-74268414.371837,True,False,False
AgCu2S4,Ag,Cu,S,8.026193901517301,8.026193901517308,8.02619390151726,89.99999999999986,90.00000000000007,90.00000000000018,-96.50415087297844,517.0457139549326,0.044633190127266,8.441109506233174,8.442145847946762,8.446823664719762,90.46233310778908,90.56810729015936,89.68070654482229,-127031600.49983405,601.8714912447468,182959030.54288596,0.8457839354872704,,True,False,False,True,2.339785,normal,,,-127031503.995683,True,False,False
AgDy2S4,Ag,Dy,S,9.093052583775288,9.108636132246897,9.180193337215304,89.99999994516942,90.00000012345716,89.99999950816964,-192607.29268981537,760.3523343843019,75029.52941045277,8.454697646420344,8.458581799159735,8.451119578158425,90.03688469958632,89.88348811199862,90.12533295920316,-134713441.64785644,604.3768985137326,52905483.65257973,0.9350734716653823,,False,False,False,False,,,,,-134520834.355167,True,False,False
AgEr2S4,Ag,Er,S,9.240487842927145,9.24079416963052,9.24447448620468,90.00011545919622,90.0000814325946,90.00001564376875,-5970490920.480759,789.3805566317408,954741087.8391593,8.345418800587051,8.28221745259997,8.252316705621345,90.44071306353766,89.64291090494285,89.85902129179208,-547864179.9537094,570.358611141282,3873809013.0133367,0.9037543112039566,,False,False,False,False,,,,,5422626740.527049,True,False,False
AgEu2S4,Ag,Eu,S,8.057174109861117,8.05717410986114,8.057174109861249,89.9999999999999,89.99999999999993,89.99999999999986,138.4387132431052,523.0560690807042,0.0304102514305044,7.911204151693298,7.905852680142053,7.908597802138474,89.98982586066089,90.00539758620137,89.99749500770942,-66698408.6120865,494.6417723856893,110243408.84865196,0.9015462118387222,,True,False,False,True,9.425255,normal,,,-66698547.0508,True,False,False
AgFe2S4,Ag,Fe,S,8.152471574135244,8.152471624791971,8.15247180394496,90.00000168636782,90.00000084698458,89.99999956264101,-1342.909878950663,541.8360474118699,1.3325187892495194,7.994641727419586,7.990613021946378,7.989452341666572,90.09593814522276,89.98336194076562,90.00315690902687,-9002805348483.541,510.38216213239286,15606511524359.41,0.646503027677536,,False,False,False,False,,,,,-9002805347140.63,True,False,False
