Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
AgAg2Te4,Ag,Ag,Te,8.097650096478157,8.097650096478906,8.097650096479084,90.0000000000066,90.00000000000004,90.00000000000118,2192.160013503652,530.9786026626608,0.1939176925368139,8.097650325821476,8.097650325823,8.097650325821782,90.00000000004493,90.00000000000044,89.99999999999874,2192.160014391929,530.9786477781287,0.1138729898419965,0.9274005998671054,,False,False,False,False,,equal,,,1e-06,True,False,False
AgAl2Te4,Ag,Al,Te,8.285307282214244,8.2853072822142,8.285307282214179,89.99999999999929,90.0,90.00000000000001,-2518.06320734012,568.7558281547083,0.0160990792976003,8.084503360705622,8.075987711607471,8.07427955538623,89.97328817016408,89.97447126430215,90.04044160679588,-12233667727275.023,527.1722955004947,177223287281776.78,0.7277348302304745,,True,False,False,True,0.0,normal,0.73,0.0,-12233667724756.96,True,False,False
AgB2Te4,Ag,B,Te,10.97278819184194,10.972788191842286,10.972788191841882,89.9999999999979,90.00000000000001,90.00000000000001,-193.94977381052647,1321.146529411398,0.0381523558724478,8.264687111970138,8.245903624628951,8.239668568129717,89.92636275127458,89.97670688260172,89.97504514841408,-612.8980130496456,561.5313122050139,193.858076587864,0.236730237616788,,True,False,False,True,0.659089,normal,,,-418.948239,True,False,False
AgBi2Te4,Ag,Bi,Te,10.758356364173016,10.744069312148408,10.740997867579274,89.9810482403069,89.92785163468379,89.90711974713484,48.77028154224868,1241.5334335482146,3.828352580154301,8.573679867334457,8.5528801977324,8.566053941513186,90.03996921081735,90.0456226414922,90.12944094168462,-24815.204666396643,628.1438395663171,85136.36252711123,0.705626472234726,,False,False,False,False,,,,,-24863.974948,True,False,False
AgCe2Te4,Ag,Ce,Te,9.71714409168776,9.717144091688342,9.717144091687825,90.00000000000028,90.00000000000018,89.99999999999991,113.2481494523555,917.5208208682571,0.0462677476358643,8.528050448350026,8.539343214271629,8.536088480825226,89.81055051638812,89.69419411020364,89.8819516955367,-1058688.9438280172,621.6181291722105,1650237.9874286966,0.765210613720119,,True,False,False,True,7.147164,normal,,,-1058802.191977,True,True,False
AgCo2Te4,Ag,Co,Te,8.526984418884362,8.526984418884565,8.526984418884448,90.00000000000082,90.00000000000001,90.00000000000001,-90.03705466289483,619.9924604931443,0.0421851874851689,9.132764985974337,9.040491148558914,9.05369804364449,89.63022030650112,89.78309553763896,89.83275211174103,-128.3942605541364,747.4916350420152,11.935545013619532,0.3705833458155393,,True,False,False,True,2.801122,normal,,,-38.357206,True,False,False
AgCr2Te4,Ag,Cr,Te,8.23160625363659,8.231606234351652,8.231606258212597,90.00000079498115,90.00000025321465,90.00000138467955,-3899.003806641249,557.7682183597541,7.418768312266159,8.259559979349463,8.243777067282657,8.240256765296165,89.98576827138689,89.89377285684297,90.04077165332788,-8439798.719191823,561.0777214979282,4539528.272213583,0.6360648910701275,True,False,False,False,False,,,,,-8435899.715385,True,False,False
AgCu2Te4,Ag,Cu,Te,8.035742443840563,8.035742443840876,8.035742443840654,90.00000000000347,89.99999999999986,89.99999999999986,339.2578671600991,518.8932554141841,0.0225501012981367,9.068623721458977,9.187982737809346,9.20278005420416,90.19379458143491,90.0714608155619,90.11996083239409,-32824.094913683795,766.7906661240837,93464.26333563334,0.9581095975637436,,True,False,False,True,9.481161,normal,,,-33163.352781,True,False,False
AgDy2Te4,Ag,Dy,Te,12.516225190969127,12.516225190970776,12.516225190970486,89.99999999999902,89.99999999999996,89.99999999999994,-256.73309361376374,1960.7404346694643,0.0401132423108784,9.319215413314774,9.226219104588749,9.338227928820356,90.04927716468343,89.97778057082965,90.00847909458601,-149.32848481516226,802.9109607437593,143.11919928233877,0.7809227828681469,,True,False,False,True,0.0,normal,0.78,0.0,107.404609,True,False,False
AgEr2Te4,Ag,Er,Te,12.483979155970571,12.4839791559728,12.483979155970973,89.99999999998572,89.99999999999983,89.99999999999994,-255.5147376712164,1945.6248502787128,0.0396670161083322,8.142981160811688,8.141739945799795,8.144499485563594,89.97641035705792,89.98650710957111,90.00502694149696,-143561451349.36182,539.96424908921,155134864922.53018,0.7924471006169915,,True,False,False,True,0.0,normal,0.79,0.0,-143561451093.84708,True,False,False
