CollectionCode,HMS,StructuredFormula,StructureType,Title
66131,F d -3 m S,(Cd0.75 Zn0.25) Fe2 O4,Spinel#MgAl2O4,Crystal structure of cadmium-zinc ferrites
66132,F d -3 m S,(Cd0.85 Zn0.15) Fe2 O4,Spinel#MgAl2O4,Crystal structure of cadmium-zinc ferrites
66133,F d -3 m S,Cd Fe2 O4,Spinel#MgAl2O4,Crystal structure of cadmium-zinc ferrites
69365,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69366,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69367,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69368,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69369,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69370,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69371,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69372,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69373,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69374,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69375,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69376,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69377,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69378,F d -3 m S,Co Co2 O4,Spinel#MgAl2O4,High-temperature X-ray diffraction study of Co3O4: transition from normal to disordered spinel
69497,F d -3 m S,(Co0.06 Ge0.94) (Co1.94 Ge0.06) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69498,F d -3 m S,(Co0.27 Ge0.5 Al0.23) (Co1.23 Al0.77) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69499,F d -3 m S,(Co0.94 Al0.06) (Co0.56 Ge0.5 Al0.94) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69500,F d -3 m S,(Co0.94 Al0.06) (Co0.06 Al1.94) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69501,F d -3 m S,Co (Co0.8 Ge0.8 Cr0.4) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69502,F d -3 m S,Co (Co0.5 Ge0.5 Cr) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69503,F d -3 m S,Co Cr2 O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69504,F d -3 m S,(Co0.83 Ge0.17) (Co1.17 Ge0.33 Ti0.5) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69505,F d -3 m S,(Co0.99 Ge0.01) (Co1.01 Ge0.39 Ti0.6) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69506,F d -3 m S,(Co0.99 Ti0.01) (Co1.01 Ti0.99) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69507,F d -3 m S,(Co0.97 Sn0.03) (Co1.03 Sn0.97) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69508,F d -3 m S,Ni2 Ge O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69509,F d -3 m S,(Ni0.15 Al0.85) (Ni0.85 Al1.15) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69510,F d -3 m S,(Ni0.91 Ge0.09) (Ni0.29 Ge0.11 Cr1.6) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69511,F d -3 m S,Ni2 (Ge0.4 Ti0.6) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69512,F d -3 m S,(Co0.17 Zn0.8 Ge0.03) (Co1.03 Ge0.97) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69513,F d -3 m S,(Co0.55 Zn0.4 Al0.05) (Co0.05 Al1.95) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69514,F d -3 m S,(Co0.4 Zn0.6) (Co0.5 Ge0.5 Cr) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69515,F d -3 m S,(Co0.6 Zn0.4) Cr2 O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69516,F d -3 m S,(Co0.2 Zn0.8) (Co Ge0.5 Ti0.5) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69517,F d -3 m S,(Co0.2 Zn0.8) (Co Ti) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69518,F d -3 m S,(Co0.2 Zn0.8) (Co Sn) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69519,F d -3 m S,Zn (Ni0.8 Zn0.2 Ge) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69520,F d -3 m S,(Zn0.6 Al0.4) (Ni0.4 Al1.6) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69521,F d -3 m S,(Zn0.9 Ni0.1) (Ni0.5 Ge0.5 Cr) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69522,F d -3 m S,(Zn0.6 Ni0.4) Cr2 O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69523,F d -3 m S,Zn (Ni0.8 Zn0.2 Ge0.5 Ti0.5) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69524,F d -3 m S,Zn (Ni0.8 Zn0.2 Ti) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
69525,F d -3 m S,Zn (Ni0.8 Zn0.2 Sn) O4,Spinel#MgAl2O4,Study of Germanium spinels (Part 3)
70023,F d -3 m S,Li Ni0.5 Mn1.5 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70024,F d -3 m S,Li Ni0.3 Mg0.2 Mn1.5 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70025,F d -3 m S,Li Ni0.5 Mn1.2 Ti0.3 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70026,F d -3 m S,Li Ni0.5 Mn1.1 Ti0.4 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70027,F d -3 m S,Li Ni0.5 Mn1.0 Ti0.5 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70028,F d -3 m S,Li Ni0.5 Mn0.8 Ti0.7 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70029,F d -3 m S,Li Ni0.5 Mn0.5 Ti1.0 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70030,F d -3 m S,Li Ni0.5 Mn0.3 Ti1.2 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70031,F d -3 m S,Li Ni0.5 Mn0.15 Ti1.35 O4,Spinel#MgAl2O4,"Cation distribution, cluster structure and ionic ordering of the spinel series Li Ni0.5 Mn1.5-x Tix O4 and Li Ni0.5-Y Mgy Mn1.5 O4"
70047,F d -3 m S,Li Ni0.5 Mn1.5 O4,Spinel#MgAl2O4,A neutron diffraction study of some spinel componds containing octahedral Ni and Mn at a 1 : 3 ratio
70214,F d -3 m S,Ni0.5 Co0.5 Fe2 O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70215,F d -3 m S,Ni0.4 Zn0.1 Co0.5 Fe1.8 Al0.2 O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70216,F d -3 m S,Ni0.3 Zn0.2 Co0.5 Fe1.6 Al0.4 O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70217,F d -3 m S,Ni0.2 Zn0.3 Co0.5 Fe1.4 Al0.6 O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70218,F d -3 m S,Ni0.1 Zn0.4 Co0.5 Fe1.2 Al0.8 O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70219,F d -3 m S,Zn0.5 Co0.5 Fe Al O4,Spinel#MgAl2O4,"Study of cation distribution, structural and electrical properties of Al-Zn substituted Ni-Co ferrite"
70344,F d -3 m S,Co0.5 Ni0.5 Fe2 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70345,F d -3 m S,Co0.5 Ni0.5 Fe1.99 In0.01 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70346,F d -3 m S,Co0.5 Ni0.5 Fe1.98 In0.02 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70347,F d -3 m S,Co0.5 Ni0.5 Fe1.97 In0.03 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70348,F d -3 m S,Co0.5 Ni0.5 Fe1.96 In0.04 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70349,F d -3 m S,Co0.5 Ni0.5 Fe1.94 In0.06 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70350,F d -3 m S,Co0.5 Ni0.5 Fe1.92 In0.08 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70351,F d -3 m S,Co0.5 Ni0.5 Fe1.9 In0.1 O4,Spinel#MgAl2O4,"The impact of indium ion on structural, magnetic, and electrodynamic traits of Co-Ni nanospinel ferrites"
70622,F d -3 m Z,Li Fe0.05 Cr0.08 Mn1.87 O4,Spinel#MgAl2O4,Preparation of long cycle lifespan spinel LiMn$_2$O$_4$ cathode material by a dual-modified strategy
70623,F d -3 m Z,Li Fe0.05 Cr0.08 Mn1.87 O4,Spinel#MgAl2O4,Preparation of long cycle lifespan spinel LiMn$_2$O$_4$ cathode material by a dual-modified strategy
70809,F d -3 m S,Cu Fe2 O4,Spinel#MgAl2O4,Oxygen vacancy-dependent photocatalytic selective synthesis of an unsaturated amide on spinel CuFe\(_2\)O\(_4\)
71695,F d -3 m Z,Ag Cr2 Te4,Spinel#MgAl2O4,Formation of silver chromium spinels and structure determination of ferromagnetic AgCr2Te4
71797,F d -3 m S,Zn0.99 Cr2 Se3.99,Spinel#MgAl2O4,"Crystal and magnetic structure of the magnetically modulated spinels Zn1-xGa2x/3Cr2Se4 where (x=0.0,0.1,0.2,0.3,0.5)"
71798,F d -3 m S,(Zn0.93 Ga0.08) Cr2 Se4.01,Spinel#MgAl2O4,"Crystal and magnetic structure of the magnetically modulated spinels Zn1-xGa2x/3Cr2Se4 where (x=0.0,0.1,0.2,0.3,0.5)"
72022,F d -3 m S,(Mg0.18 Co0.82) (Mg0.20 Co1.80) O4,Spinel#MgAl2O4,On the cationic distribution in MgxCo3-xO4 spinels
72023,F d -3 m S,(Mg0.23 Co0.77) (Mg0.35 Co1.65) O4,Spinel#MgAl2O4,On the cationic distribution in MgxCo3-xO4 spinels
