0,1,2
Ag,Al,S
Ag,In,S
Ca,In,S
Cd,Al,S
Cd,Cr,S
Cd,Dy,S
Cd,Er,S
Cd,Ho,S
Cd,In,S
Cd,Lu,S
Cd,Sc,S
Cd,Tm,S
Cd,Y,S
Cd,Yb,S
Co,Co,S
Co,Cr,S
Co,In,S
Co,Ni,S
Co,Rh,S
Cr,Al,S
Cr,Ga,S
Cr,In,S
Cu,Al,S
Cu,Co,S
Cu,Cr,S
Cu,In,S
Cu,Ir,S
Cu,Rh,S
Cu,Ti,S
Cu,V,S
Cu,Zr,S
Fe,Al,S
Fe,Cr,S
Fe,Fe,S
Fe,In,S
Fe,Lu,S
Fe,Ni,S
Fe,Rh,S
Fe,Sc,S
Fe,Yb,S
Hg,Al,S
Hg,Cr,S
Hg,In,S
In,Cr,S
Mg,Cr,S
Mg,In,S
Mg,Lu,S
Mg,Sc,S
Mg,Tm,S
Mg,Yb,S
Mn,Cr,S
Mn,In,S
Mn,Lu,S
Mn,Sc,S
Mn,Tm,S
Mn,Yb,S
Ni,Co,S
Ni,In,S
Ni,Ni,S
Ni,Rh,S
Rh,Co,S
Rh,Fe,S
Rh,Ni,S
Sn,In,S
Zn,Al,S
Zn,Cr,S
Zn,In,S
Zn,Sc,S
Zn,Y,S
