Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2O4,9.226804582307429,9.226804582308016,9.22680458230776,89.99999999999996,90.0,90.0,-219.90315932672272,785.5140690017492,70,pass,pass,0.0377394534376558
AgAl2O4,8.423440218180925,8.379846210377707,8.36976659488192,89.7961560504278,90.6970437608593,89.34000868542878,-353.5496021621543,590.7108804812059,72,pass,pass,0.042653618683601
AgAs2O4,9.51886636641684,9.585946729684492,9.608396876442148,90.81102465754164,89.39689758356369,90.41959206551168,-305.0215290745794,876.5817484729046,378,pass,pass,0.0495913877379593
AgAu2O4,9.695075685534606,9.568036860453892,9.274573203712558,91.44732933497376,90.4227041160515,91.68443394869752,-229.3673105701152,859.6612567636209,273,pass,pass,0.0426286017207445
AgB2O4,9.088682286294642,8.613471136372267,8.654449920975189,83.1813883815606,89.23258420420157,91.24340351068884,-378.3721309572492,672.4769937185738,447,pass,pass,0.0498037598262736
AgBi2O4,9.592619679561285,10.047185306104394,10.000059121155669,90.87019572493824,89.00811142228581,89.06144969718851,-290.83962164926675,963.404889892351,208,pass,pass,0.0491760081043918
AgBr2O4,10.590429810492784,10.09608071729888,9.81265751276038,91.97543566228376,87.24709233296093,91.81914667379256,-196.7744254754537,1046.8778258684283,600,pass,pass,0.05964982919379
AgC2O4,9.289861216516892,9.027841030787826,8.911123533336305,87.98899112316707,90.04536214501252,89.4981112556529,-366.07780473323095,746.8632763752045,600,pass,pass,0.4046044042678644
AgCe2O4,9.84786057443518,9.837827365110703,9.750214814430793,94.58164729018708,91.3132484417601,85.79806854893147,-421.64440980626296,938.928059308804,300,pass,pass,0.0471687232115236
AgCl2O4,9.870754842791692,9.98507532261704,9.758774042864768,90.34153160186482,90.21564250486932,89.98251230118042,-207.05465806598545,961.803081780563,600,pass,pass,0.0787446123155868
AgCo2O4,8.5945411701479,8.578192598523406,8.570770081953242,89.75518702765807,89.95711494524859,89.7514713684893,-295.50484183451425,631.8735383217584,46,pass,pass,0.0467476781268209
AgCr2O4,8.351995500743685,8.810913061773766,8.85843553088829,90.00042836187886,91.55802020728716,88.4328382171335,-375.684441668996,651.3958925291428,140,pass,pass,0.0497181155795293
