Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2O4,9.226804582307803,9.2268045823073,9.22680458230741,90.00000000000004,90.0,90.0,-219.9031593267225,785.5140690016906,70,pass,pass,0.0377394534385827
AgAl2O4,8.425127513960573,8.425127513960676,8.425127513960573,89.99999999999989,90.0,90.0,-358.2198545780664,598.0389190978294,37,pass,pass,0.049714585500293
AgAs2O4,9.105221658828386,9.105221658828452,9.105221658828302,90.00000000000209,90.00000000000004,90.00000000000006,-294.12538952284115,754.8689611992879,65,pass,pass,0.041427486152666
AgAu2O4,9.396181311057076,9.396181311056855,9.39618131105678,89.99999999999947,90.0,90.0,-229.2368273907116,829.5721531025428,79,pass,pass,0.0317623477063599
AgB2O4,7.903947883484293,7.903947883484318,7.9039478834841725,90.00000000000004,90.0,90.0,-316.575468700377,493.77853166937,53,pass,pass,0.0498533402487041
AgBi2O4,9.916516988988713,9.9165169889883,9.91651698898788,89.99999999999905,90.0,90.0,-288.88633560291424,975.1635972627234,107,pass,pass,0.0207781924471716
AgBr2O4,7.39431699640806,7.394316996409039,7.394316996408826,89.99999999999872,90.0,90.0,-734962.1829799584,404.29111296943233,600,pass,fail,78791.82281777762
AgC2O4,8.172948671188356,8.136061680556432,8.132879459296621,90.14270157229052,90.00202266211284,90.00067433306577,-356.6160837891582,540.79913959864,600,pass,pass,1.090585463938134
AgCe2O4,9.927966082299784,9.927966082299834,9.927966082299983,89.99999999999946,90.0,90.0,-421.6810476223599,978.5451174732008,105,pass,pass,0.0060526989776279
AgCl2O4,9.003018752470892,9.003018809474185,9.003019772096911,90.00000000007346,90.00000000000568,90.0000000000011,-155.27324070149808,729.7338901908163,63,pass,pass,0.0318133853517879
AgCo2O4,8.443064846515053,8.443064846514895,8.443064846515105,90.00000000000058,90.0,90.0,-301.0392024088518,601.86678201888,38,pass,pass,0.0499689366346398
AgCr2O4,8.73202427079479,8.732024270794321,8.732024270794783,90.00000000000001,90.0,90.0,-383.1083379279916,665.8015509692634,50,pass,pass,0.020328890751234
AgCu2O4,8.622008194188046,8.62200819418789,8.622008194187874,90.00000000000033,90.0,90.0,-262.0928556772211,640.9516852900963,45,pass,pass,0.0180727795238025
AgDy2O4,9.703949958795876,9.70394995879548,9.703949958795702,89.99999999999912,90.0,90.0,-390.9950809201195,913.788408954164,94,pass,pass,0.0065557938267263
AgEr2O4,9.589810241914108,9.5898102419142,9.58981024191419,89.99999999999966,90.0,90.0,-392.7207112957277,881.9217249641057,88,pass,pass,0.0432680406928912
AgEu2O4,9.825240068729912,9.825240068730327,9.825240068729672,89.99999999999874,90.0,90.0,-448.72747282806495,948.4829142773876,100,pass,pass,0.0457234400917921
AgFe2O4,8.814476344063467,8.81447634406383,8.814476344063934,89.99999999999937,90.0,90.0,-327.82221200194897,684.8406797904062,50,pass,pass,0.0266126582141308
AgGa2O4,8.705776680634777,8.705776680634306,8.705776680634376,89.99999999999996,90.0,90.0,-301.07200809235394,659.8155820224628,49,pass,pass,0.0315981792215632
AgGd2O4,9.809504897809974,9.809504897810127,9.809504897811111,90.0000000000003,90.0,90.0,-536.6732534994878,943.9332081024576,99,pass,pass,0.0217486619572074
AgGe2O4,8.915417147814809,8.915417147815202,8.915417147815326,89.99999999999471,89.99999999999999,89.99999999999993,-311.5599407435022,708.6389267813107,60,pass,pass,0.0334545648634852
AgHf2O4,9.262003525745422,9.262003525745154,9.262003525744817,90.00000000000027,90.00000000000001,90.0,-486.6535318412946,794.5382800927177,72,pass,pass,0.047832526811974
AgHo2O4,9.648011372611348,9.648011372611547,9.648011372611633,90.00000000000004,90.00000000000001,90.00000000000003,-391.42654019501055,898.0766816169772,91,pass,pass,0.0079281681194286
AgI2O4,9.894932597322764,9.894932597322738,9.894932597322526,89.99999999999943,90.0,90.0,-200.41878751505192,968.8097941141888,105,pass,pass,0.003983475752912
AgIn2O4,9.33048517292013,9.33048517292045,9.330485172919984,89.99999999999977,90.0,90.0,-286.3729640227549,812.2929448957937,75,pass,pass,0.0385545021939279
AgIr2O4,8.987079754767809,8.987079754767578,8.987079754767809,89.99999999999973,90.0,90.0,-347.71876346938603,725.8648854356417,58,pass,pass,0.0205528542826715
AgLa2O4,10.229302309946876,10.229302309947414,10.22930230994702,90.00000000000067,90.00000000000001,90.00000000000001,-388.64206852467487,1070.380136076665,121,pass,pass,0.0260420201896917
AgLu2O4,9.451387285905453,9.451387285905392,9.451387285905636,89.99999999999953,90.0,90.0,-395.55152244150537,844.2803438627337,81,pass,pass,0.0034289241897906
AgMn2O4,8.838508464197208,8.838508464198068,8.838508464189454,89.99999999999882,89.99999999999997,90.0,-364.94264340602746,690.4574921139397,52,pass,pass,0.0269202449344509
AgMo2O4,9.231598526430322,9.231598526430206,9.231598526430348,89.99999999999879,90.0,90.0,-367.8490614273484,786.7390870669441,70,pass,pass,0.00705954300477
AgN2O4,7.943116817676986,7.9431168180711,7.9431168147382385,90.00000018112878,89.99999991204783,89.99999948954118,-270.6496112670173,501.15590149107095,190,pass,pass,0.0495949428832963
AgNb2O4,9.122104669464452,9.12210466946498,9.122104669464754,89.99999999999795,90.0,90.0,-440.1163505024833,759.0758130638781,64,pass,pass,0.0444286036799717
AgNd2O4,10.106817851100816,10.106817851100931,10.106817851102267,89.99999999999963,90.0,90.0,-381.4761758114852,1032.3888757271943,114,pass,pass,0.0225595367906184
AgNi2O4,8.491847033220843,8.491847033221088,8.491847033220843,89.99999999999996,90.0,90.0,-253.6983155679043,612.3595389158166,40,pass,pass,0.0170602042750514
AgOs2O4,8.93239606106285,8.932396061063105,8.932396061063036,90.0000000000003,90.00000000000001,90.00000000000001,-385.657708131704,712.6953317676437,54,pass,pass,0.0494670873025627
AgP2O4,8.791083960408288,8.791083960407857,8.791083960408288,89.99999999999108,90.00000000000026,90.00000000000422,-300.4403123537131,679.4027236613499,55,pass,pass,0.0159904935840786
AgPb2O4,9.706013277331245,9.70601327733158,9.706013277331616,89.99999999999969,90.0,90.0,-280.8502794364543,914.371420251368,95,pass,pass,0.0449719898743058
AgPd2O4,9.080202094563289,9.080202094563308,9.080202094562964,90.00000000000026,90.0,90.0,-278.6216384202691,748.6632990201335,62,pass,pass,0.0064804783947514
AgPr2O4,10.14405214101943,10.144052141018424,10.144052141018715,89.99999999999962,90.0,90.0,-378.56886454258233,1043.8411621143837,116,pass,pass,0.029482664563763
AgPt2O4,9.174769666890242,9.174769666889876,9.174769666889771,89.99999999999976,90.0,90.0,-292.0751025941117,772.2990670797983,67,pass,pass,0.0150998545481485
AgRe2O4,8.973232292069229,8.973232292069248,8.973232292068742,89.99999999999933,90.0,90.0,-426.6965752806014,722.5147735685213,56,pass,pass,0.0373292219616685
AgRh2O4,8.942352019134677,8.942352019134578,8.942352019134248,90.00000000000045,90.0,90.0,-330.30903121120474,715.0810778905856,55,pass,pass,0.0225737869962056
AgRu2O4,8.94177703348281,8.941777033482806,8.941777033482735,90.0000000000001,90.0,90.0,-363.3529113114004,714.9431494388884,55,pass,pass,0.0264548662174165
AgS2O4,8.478345783278069,8.478345783277796,8.478345783278126,90.00000000000016,89.99999999999991,90.00000000000001,-239.5588965375298,609.44339545183,49,pass,pass,0.0477244566428649
AgSb2O4,9.619293246066894,9.619293246066816,9.619293246067077,89.99999999999675,89.99999999999909,90.00000000000018,-295.58440446034683,890.0809240591988,90,pass,pass,0.0151916050730888
AgSc2O4,9.117629326768435,9.117629326768649,9.11762932676857,89.99999999999991,90.0,90.0,-421.022759588164,757.9591437815162,65,pass,pass,0.0194506475013997
AgSe2O4,9.18880147262585,9.188801472626457,9.188801472626835,90.00000000000036,90.0,90.0,-247.19629069371007,775.8479297585403,68,pass,pass,0.0477081521461366
AgSi2O4,8.4195636303831,8.419563630383319,8.419563630383013,90.00000000000037,90.0,90.00000000000001,-355.8841791873696,596.8548817051741,39,pass,pass,0.0154911810102653
AgSm2O4,9.94618662214531,9.946186622145104,9.946186622144507,90.00000000000021,90.0,90.0,-385.7992950673857,983.942707195512,106,pass,pass,0.0111952932341035
AgSn2O4,9.362540995956836,9.362540995956726,9.362540995956806,90.00000000000027,90.0,90.0,-309.779701251412,820.6938842375598,77,pass,pass,0.027420184245285
AgSr2O4,10.047701543982608,10.04770154398314,10.047701543983104,90.0000000000002,90.0,90.0,-276.2916921760815,1014.3788348557084,114,pass,pass,0.0231772205647206
AgTa2O4,9.080430910043798,9.080430910043626,9.080430910043848,89.99999999999936,90.0,90.0,-470.3270627023657,748.719898003592,62,pass,pass,0.0486846439786028
AgTb2O4,9.72912646970917,9.729126469709076,9.729126469709596,89.99999999999993,90.0,90.0,-388.8551647642007,920.9192403353328,95,pass,pass,0.0390098505448944
AgTc2O4,8.97163242138668,8.971632421386806,8.971632421386774,89.99999999999987,90.0,90.0,-395.3666956937256,722.1283829959787,56,pass,pass,0.0073946726784253
AgTe2O4,9.739314894226323,9.739314894226132,9.739314894226707,89.99999999999923,90.00000000000003,89.99999999999994,-261.4976949085268,923.8154546932004,97,pass,pass,0.0481686823504196
AgTi2O4,8.81806345941104,8.818063459411244,8.818063459411134,90.00000000000072,90.0,90.0,-438.16070374287887,685.6771228024361,51,pass,pass,0.0469741883342443
AgTl2O4,9.619540877544251,9.619540877543487,9.619540877543448,89.99999999999967,90.0,90.0,-243.16684644942544,890.149666446675,90,pass,pass,0.0417215785972377
AgTm2O4,9.511111461448564,9.511111461448076,9.511111461448778,89.99999999999908,90.0,90.0,-393.409073406514,860.3869482994482,84,pass,pass,0.0414779749889943
AgV2O4,8.833947466388667,8.833947466388635,8.83394746638867,89.99999999999976,90.0,90.0,-389.1272207392681,689.3891386780269,51,pass,pass,0.0226954506415638
AgW2O4,9.289052557948423,9.289052557948583,9.289052557948892,89.99999999999974,90.0,90.0,-375.061769439374,801.51980961592,73,pass,pass,0.0020851775023168
AgY2O4,9.687005652044446,9.687005652044531,9.687005652044878,90.00000000000078,90.0,90.0,-419.8102833517214,909.0099968330916,93,pass,pass,0.0265823447466159
AgYb2O4,9.432110201116314,9.432110201115778,9.432110201115874,89.99999999999929,90.0,90.0,-295.4426886438525,839.1248812529747,82,pass,pass,0.0382369325939946
AgZn2O4,8.814849941755186,8.81484994175584,8.814849941755451,90.00000000000058,90.0,90.0,-232.13166965738637,684.9277634916884,49,pass,pass,0.0382584231710199
AgZr2O4,9.392848427968218,9.39284842796912,9.392848427968206,90.00000000000064,90.0,90.0,-456.3457006242574,828.6897032086346,78,pass,pass,0.0185792707256705
AlAg2O4,8.857262797313048,8.857262797311085,8.857262797312101,90.00000000000023,90.0,90.0,-281.6874603973508,694.8620471758928,59,pass,pass,0.0010063307883248
AlAs2O4,8.790513688588437,8.790513688588103,8.790513688588184,89.99999999999999,90.0,90.0,-332.37401296507926,679.2705150178974,54,pass,pass,0.0178877989405556
AlAu2O4,8.939174767087344,8.939174767087595,8.939174767087552,90.00000000000044,90.0,90.0,-282.7413282870969,714.3191355084913,63,pass,pass,0.0099201082628166
AlB2O4,7.904396311854199,7.904396311854157,7.904396311854129,90.00000000000001,90.00000000000001,90.0,-348.8502077465809,493.86257961654735,38,pass,pass,0.0345337668297857
AlBi2O4,9.498564449906734,9.498564449906157,9.4985644499065,90.00000000000213,90.0,90.0,-334.2280192951213,856.9863835421327,91,pass,pass,0.0125762731043649
