Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2Se4,7.289232711996776,7.289302183259104,7.2892378840211824,90.00000001184587,90.00000026233097,89.9999999061708,-12107.828122503264,387.3021374018949,600,pass,pass,266.28465250875524
AgAl2Se4,7.910065660728419,7.903057934919039,7.903986523283603,90.02498179431966,90.00992930773499,89.9769454456787,-1028984785953.5996,494.1074047449895,600,pass,fail,183006444188.5183
AgAs2Se4,7.880438668229692,7.887614830219894,7.887407752937569,89.98349577128182,89.97580692234682,89.97146323042168,-53416565.06321219,490.2643007584739,600,pass,fail,30689748.944874417
AgAu2Se4,7.7158430873974,7.653467534073888,7.646314052037507,90.06609258079146,89.97530784247296,90.00225895703709,-11333.266477501023,451.53709363326266,600,pass,pass,889.0344504111657
AgB2Se4,7.893245595624899,7.8497326108139,7.834750189301836,90.05825110097936,90.08624935649304,89.92920472312096,-110563004.59960954,485.438911960424,600,pass,fail,31372217.37004881
AgBi2Se4,8.07432200186163,8.081168453658707,8.082336089451019,90.03309596567756,90.0157740062145,90.00124106606393,-241430376.0473671,527.3719681100079,600,pass,fail,234186646.83281183
AgCe2Se4,7.919772857830997,7.918322094631084,7.920736539439034,89.95482970789192,89.97697330001472,89.93991036218135,-384356101.7568081,496.7193161160481,600,pass,fail,217928680.7440528
AgCo2Se4,7.975933072324092,7.968373339790629,7.967477268735165,90.0175231882746,90.03840752851052,89.96523091023292,-28534850.865841787,506.3744799069157,600,pass,fail,8478381.842736095
AgCr2Se4,7.902973622353423,7.882842807327043,7.881586636266882,90.03364270204972,90.04095959367523,89.99264489218812,-12440.731474496964,491.0060723283594,600,pass,fail,4041.1433742628087
AgCu2Se4,8.037090942296054,8.029120139645707,8.021071743010964,90.00570781266816,90.0237174836145,89.98715136828427,-100938123.32255356,517.6058658418905,600,pass,fail,88633603.80855736
AgDy2Se4,8.011408867646125,8.007529808715825,8.00823441017205,90.0026702583434,90.01448542187508,89.9951313970799,-34184779.198217764,513.7409942583843,600,pass,fail,19108036.70973685
AgEr2Se4,8.025766154522627,8.02569836257909,8.025145032851247,90.01015642535106,90.02407121801306,90.00604149018217,-13251831.971971411,516.9186210285603,600,pass,fail,9988616.666629814
AgEu2Se4,7.996469740299783,7.988558588327591,7.989180633949228,90.01760673406004,89.98098604902023,90.00646216508495,-4592747.372097919,510.35093673050346,600,pass,fail,15176357.00687529
AgFe2Se4,7.869995064015386,7.856388741472232,7.854902092173748,90.10892194263604,90.05761227633008,89.99758017787427,-26008.596721320624,485.6654354144393,600,pass,fail,8153.645280094335
AgGa2Se4,8.092006520055365,8.098831645080248,8.106448887859194,89.94310355552572,89.88574909030916,89.92312095205114,-753848476.1612413,531.2608056843183,600,pass,fail,54859202.24143318
AgGd2Se4,8.261977807394317,8.2547583074876,8.255708398222238,90.04018513532607,90.05459049787886,90.0227459236146,-13647670950.479967,563.0440748084696,600,pass,fail,7173111689.045474
AgGe2Se4,7.807906881747844,7.786040900140341,7.7909015235827805,89.86701193245578,89.94073841304487,90.04950567677336,-4232527.257025937,473.6280944119741,600,pass,fail,10057659.04562977
AgHf2Se4,7.824441308381599,7.819367714351249,7.825988317975997,90.0983542960414,90.08901796134823,89.93224170319739,-185364070.63609028,478.8094386255858,600,pass,fail,257873382.0213017
AgHo2Se4,7.984909968578053,7.978748937157237,7.979491380644895,89.99122009245659,90.02807788094931,90.00871973827448,-10606704825.943851,508.3700667377922,600,pass,fail,28922711095.286484
AgIn2Se4,8.214207565606243,8.22273213656187,8.222811241362338,90.02733462949448,90.0143222408138,89.96292108272849,-167964808536.85623,555.3950219875998,600,pass,fail,135440192593.60126
AgIr2Se4,7.87751273878577,7.879297486261223,7.879373959081093,90.0889691478411,90.0592517942207,89.9600507424135,-1663956495.8604023,489.06599123907927,600,pass,fail,1367672219.927601
AgLa2Se4,8.13236713577284,8.136805871224395,8.138241985630563,90.03417349134166,90.01838572347748,90.01388825735856,-12385.947032849586,538.5194804373294,600,pass,fail,5159.142109019683
AgLu2Se4,8.010312089072498,8.003998015837698,8.00611064336167,89.98325423714917,90.03614799555011,89.93757934442874,-43848248.77777628,513.307528710875,600,pass,fail,39152106.90949726
AgMn2Se4,7.969161824754328,7.951612458722638,7.947383164867604,90.10541268197306,90.03765197977066,90.03527525110232,-99575941.8162612,503.6062276184512,600,pass,fail,173410972.0811279
AgMo2Se4,7.947335286598309,7.935798136340519,7.942481854373097,90.23592850803593,90.03152342601805,89.9422124304985,-19715282.577843893,500.91543207220326,600,pass,fail,36047585.14132414
AgNb2Se4,7.906040343847819,7.899323610464152,7.8980555057039155,90.14096177970576,90.03941871594711,89.9960549016057,-15561429369.123272,493.250683204202,600,pass,fail,131103922040.1803
AgNd2Se4,8.287799364883396,8.308182658897005,8.327562695359804,90.31730367969148,89.96816703425246,89.90377439653601,-178305845378.5136,573.3975519952513,600,pass,fail,128972148023.73138
AgNi2Se4,7.941194163450468,7.899246437433241,7.9177936123143935,90.03448404813523,89.91045686499716,90.02146136643962,-713854045.5503185,496.6781050019523,600,pass,fail,44785829.85194042
AgOs2Se4,8.05087554882796,8.037854314139732,8.0386701800011,90.03794297886074,90.02576658598132,89.98984149083647,-7196.262501194257,520.196358876662,600,pass,fail,1121.8319487826984
AgP2Se4,7.85411315680615,7.783794423937929,7.78474559944936,90.15902571691426,90.04427968351372,89.88047346412458,-663666124.6952132,475.91587364997343,600,pass,fail,14191623.296394834
AgPb2Se4,8.127759351118815,8.131307786482754,8.133926939231987,90.04196150156363,89.94926798934361,90.08683466490328,-1540066.6129467727,537.5646708503956,600,pass,fail,2104724.472877345
