Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2Se4,7.324170366355301,7.325085149818899,7.324958690564578,89.98817782639321,89.99576792507719,89.99918948693553,-93483.1103002174,392.9852811274237,600,pass,fail,225944.6585499364
AgAl2Se4,7.017772395930892,7.0177723959306535,7.017772395930892,89.99999999999969,90.0,90.0,-3350.01388719619,345.61918083458346,350,pass,pass,0.0333843413718078
AgAs2Se4,7.206910477601239,7.206910475675041,7.206910458826013,90.00000923934975,90.00000790706208,89.99999197377494,-1780299162.5423453,374.3237482328524,600,pass,fail,4891884.507453209
AgAu2Se4,8.113274998750537,8.113274998750203,8.113274998750924,90.00000000000037,90.0,90.0,-0.397876373199665,534.0582026253476,65,pass,pass,0.0372494447285817
AgB2Se4,7.175184991516511,7.175184991516336,7.175184991516502,89.99999999999929,90.0,90.0,-1142.1783191436243,369.4020555482915,120,pass,pass,0.0365758122091316
AgBi2Se4,11.972247512898802,11.972247524441354,11.972247497323792,90.00000054483927,90.00000000998898,90.00000000434468,-214.1543029149742,1716.038630838762,242,pass,pass,0.0291181305429265
AgCe2Se4,8.04103268045175,8.04103268045222,8.041032680452037,90.0000000000006,90.0,90.0,-872.631451124391,519.9187520734856,52,pass,pass,0.0486974595682983
AgCo2Se4,8.200541044250814,8.200541044250512,8.200541044250693,90.00000000000041,90.0,90.0,-73.42199590928217,551.477146647535,52,pass,pass,0.039945283989511
AgCr2Se4,7.277914770312693,7.277914770313674,7.277914770313261,89.9999999999977,90.0,90.0,-205477.93332332504,385.4969054441492,600,pass,fail,1005.7349758326876
AgCu2Se4,10.627597453727557,10.627597453726503,10.62759745372699,89.9999999999981,90.00000000000001,90.0,-199.05093783834803,1200.3427902196415,141,pass,pass,0.0462446556093182
AgDy2Se4,8.636521517686326,8.636521517687218,8.636521517686804,89.99999999998859,89.99999999999983,89.99999999999983,-230.32322271062333,644.1938556458763,82,pass,pass,0.0469065889085934
AgEr2Se4,8.668898193818555,8.668898193819102,8.668898193818988,90.0000000000003,90.0,90.0,-22.503829082565403,651.4659298982567,68,pass,pass,0.0418732661551445
AgEu2Se4,6.328838936206099,6.334577819179162,6.329879666813032,90.02195879597089,90.0378912429255,89.9804759312159,-7891282896.816438,253.76809592286824,600,pass,fail,2215117013.132277
AgFe2Se4,7.201783063620272,7.201783063620964,7.201783063620481,89.99999999999721,89.99999999999996,89.99999999999999,-18759.77565901816,373.52537073316296,600,pass,fail,5269.885688879899
AgGa2Se4,7.932448037708547,7.932448037708547,7.932448037708425,89.99999999999997,90.0,90.0,-93.86996862349253,499.1392334049778,68,pass,pass,0.0438935670654923
