Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
AgAg2S4,8.0774473804229,8.077447380422761,8.07744738042318,90.00000000000168,90.00000000000001,90.0,-483.6271636355175,527.0143158997105,114,pass,pass,0.0342861315703888
AgAl2S4,8.221665605755415,8.221665605754039,8.221665605754163,89.99999999999783,90.00000000000009,90.00000000000014,-5868.954047459618,555.7499433650364,600,pass,pass,439.8694333803957
AgAs2S4,8.370120208637616,8.378569917252847,8.299149674864998,90.00782646007234,89.97783607750333,89.99429428438008,-41599.17144958269,582.016305427505,600,pass,fail,20874.23832090389
AgAu2S4,8.42770602644959,8.435518693625536,8.430675036821828,89.91893814896285,90.02054515484498,90.02110026480047,-73133.51380515473,599.3534755427949,600,pass,fail,5970.22919247691
AgB2S4,9.5718769064996,9.571876906504118,9.571876906507184,89.99999999999976,90.0,90.0,-235.38249421956044,876.9832830289039,94,pass,pass,0.0174498409002807
AgBi2S4,11.458751763928037,11.458751763931405,11.4587517639295,89.99999999998246,90.00000000000934,90.00000000001324,-232.21205603972749,1504.568391044411,179,pass,pass,0.032596944220528
AgC2S4,9.088349831386164,9.088349831467498,9.088349831504573,89.99999999995197,90.00000000020445,89.99999999999831,-226.08997231791284,750.6804523780321,79,pass,pass,0.0243480300553516
AgCe2S4,8.970108256174361,8.970108256174488,8.970108256174365,89.99999999982917,89.99999999999172,90.0000000000718,-94.40782588096756,721.7604044830399,600,pass,pass,3.0327074268095955
AgCo2S4,9.73749539187813,9.737495391876736,9.737495391877948,90.0000000000405,90.00000000012491,89.99999999998076,-286.5404128845434,923.2977887986186,114,pass,pass,0.0278391132443798
AgCr2S4,8.624910993200434,8.624451881083207,8.626416992555896,89.97055487186684,90.00365671166729,89.96275616339311,-304378.14376223163,641.6769264184089,600,pass,fail,70397.93652670157
AgCu2S4,8.026193901517301,8.026193901517308,8.02619390151726,89.99999999999986,90.00000000000007,90.00000000000018,-96.50415087297844,517.0457139549326,59,pass,pass,0.044633190127266
AgDy2S4,9.093052583775288,9.108636132246897,9.180193337215304,89.99999994516942,90.00000012345716,89.99999950816964,-192607.29268981537,760.3523343843019,600,pass,fail,75029.52941045277
AgEr2S4,9.240487842927145,9.24079416963052,9.24447448620468,90.00011545919622,90.0000814325946,90.00001564376875,-5970490920.480759,789.3805566317408,600,pass,fail,954741087.8391593
AgEu2S4,8.057174109861117,8.05717410986114,8.057174109861249,89.9999999999999,89.99999999999993,89.99999999999986,138.4387132431052,523.0560690807042,29,pass,pass,0.0304102514305044
AgFe2S4,8.152471574135244,8.152471624791971,8.15247180394496,90.00000168636782,90.00000084698458,89.99999956264101,-1342.909878950663,541.8360474118699,600,pass,pass,1.3325187892495194
AgGa2S4,8.59351888270728,8.593518882705393,8.593518882705157,90.00000000000682,89.99999999999993,90.00000000000003,-1064.79439515681,634.6190531484957,101,pass,pass,0.0197239252179576
AgGd2S4,11.398523288986066,11.398523288986084,11.398523288986985,89.9999999999828,89.99999999999996,89.99999999999994,-462.4215914028909,1480.9683344858872,208,pass,pass,0.0218811433968869
AgGe2S4,8.429854491854655,8.429852774032453,8.429851365440562,89.99986198350295,89.99847335813924,90.0002834316367,-18052.49983642529,599.0457415051052,600,pass,fail,1849.5556949286508
AgHf2S4,10.726015670779674,10.7260156707801,10.726015670778622,90.00000000000006,89.99999999999999,89.99999999999999,-385.4084338517661,1234.000345815971,143,pass,pass,0.0096804836508802
AgHo2S4,8.390185557466435,8.390185521739184,8.390183150515135,90.00000327197762,90.00001042868132,90.00000226432955,-1763099.957998322,590.6287332529596,600,pass,fail,58864.4040105649
AgIn2S4,8.638361462307072,8.638361460686536,8.638361458514876,89.9999999393106,90.00000002011848,89.99999996926006,-1391.316012119214,644.6056646317761,240,pass,pass,0.0493690196678522
AgIr2S4,8.489993892145682,8.489993892143076,8.489993892143076,89.99999999999964,89.99999999999993,89.99999999999993,-749.2242250877068,611.9587282363248,81,pass,pass,0.0476788569285732
AgLa2S4,11.781372426507726,11.781372426507536,11.781372426508405,90.00000000000563,89.99999999999987,89.99999999999982,-316.55919448505256,1635.2631668592526,188,pass,pass,0.0354953230508684
AgLu2S4,11.730010293017711,11.730010293217388,11.730010293076344,90.0000000000229,89.99999999982344,89.99999999996773,-279.0358165608673,1613.96896577774,258,pass,pass,0.0458948252864928
AgMn2S4,8.639903862261678,8.639903862261619,8.639903862261706,89.99999999999828,90.0,90.0,-877.7291455967988,644.9510143084295,113,pass,pass,0.0392940439890272
AgMo2S4,8.088028785749005,8.088028785748739,8.08802878574875,90.00000000000075,90.0,90.0,-1648.6635551073698,529.088186615635,231,pass,pass,0.0480186818795416
AgNb2S4,10.454612913007468,10.454612913007404,10.454612913007916,89.99999999999805,89.99999999999993,90.0,-357.2964363994373,1142.6780170918908,134,pass,pass,0.0289054406915642
AgNd2S4,11.62650935224075,11.62650935224106,11.626509352241031,90.00000000001592,90.0000000000052,89.99999999999903,-310.3251854928498,1571.6217694942768,184,pass,pass,0.0397978335880013
AgNi2S4,7.957233103973796,8.047915437320817,7.793834093125674,90.00000000163875,89.99999951724155,89.99999999603568,-6860.3190736151655,499.110425891258,600,pass,pass,697.4688968574643
AgOs2S4,7.882323582015838,7.88232358201423,7.882323582014036,90.00000000000063,90.0,90.0,-2455.410183702838,489.7368439388549,107,pass,pass,0.046021435831643
AgP2S4,10.285212129185265,10.285212129185464,10.28521212918572,89.99999999999895,89.99999999999997,89.99999999999999,-235.76936043381767,1088.0272183687423,130,pass,pass,0.0187899482666942
AgPb2S4,11.326770324625231,11.326770324622789,11.326770324624505,89.999999999936,90.00000000030015,90.00000000017626,-219.349138214954,1453.176221883252,174,pass,pass,0.0298028081536792
AgPd2S4,8.457964958193346,8.416277234540319,8.431489336514954,89.95735336167766,90.01859339818724,89.99900357742386,-154248972.8890749,600.1918117704332,600,pass,fail,223152397.44982335
AgPr2S4,11.68785456507638,11.68785456507706,11.687854565073597,90.00000000053699,89.99999999997564,90.00000000001829,-309.87975792929967,1596.6304101048277,214,pass,pass,0.0342352101970695
